---DataManager Log File Created: 2025-05-20 06:19:37.785 ---
[2025-05-20 06:19:37.785]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:38.096]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:38.375]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:38.658]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:38.937]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:39.221]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:39.497]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:39.779]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:40.069]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:40.344]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:40.623]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:40.904]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:41.177]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:41.476]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:41.762]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:42.037]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:19:42.322]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
