---DataManager Log File Created: 2025-05-20 06:14:54.213 ---
[2025-05-20 06:14:54.212]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:57.689]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:57.968]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:58.243]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:58.521]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:58.798]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:59.069]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:59.343]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:59.666]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:14:59.941]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:00.218]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:00.492]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:00.767]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:01.046]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:01.327]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:01.610]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:01.893]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:02.170]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:02.448]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:02.722]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:02.998]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:03.272]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:03.546]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:03.818]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:04.093]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:04.368]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:04.651]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:04.921]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:05.195]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:05.475]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:05.760]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:06.033]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:06.308]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:06.582]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:06.854]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:07.126]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:07.399]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:07.671]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:07.944]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:08.219]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:08.491]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:08.762]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:09.034]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:09.322]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:09.611]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:09.886]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:10.161]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:10.436]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:10.711]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:10.982]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:11.258]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:11.529]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:11.802]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:12.074]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:12.347]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:12.622]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:12.893]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:13.169]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:13.460]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:13.743]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:14.010]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:14.284]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:14.556]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:14.828]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:15.100]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:15.379]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:15.654]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:15.927]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:16.198]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:16.473]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:16.743]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:17.019]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:17.296]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:17.578]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:17.866]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:18.142]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:18.417]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:18.690]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:18.963]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:19.243]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:19.517]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:19.792]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:20.070]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:20.345]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:20.619]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:20.895]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:21.171]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:21.449]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:21.727]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:21.999]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:22.274]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:22.555]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:22.835]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:23.109]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:23.384]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:23.661]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:23.939]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:24.219]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:24.502]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:24.783]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:25.052]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:25.329]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:25.608]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:25.899]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:26.179]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:26.459]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:26.732]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:27.007]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:27.280]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:27.562]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:27.838]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:28.118]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:28.399]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
[2025-05-20 06:15:28.679]<DEBUG> [DataManager]Send data: {Hero: (1400, 750), Engineer: (1400, 750), Infantry3: (1400, 750), Infantry4: (1400, 750), Infantry5: (1400, 750), Sentry: (2170, 855)}
